date,lme_close,lme_open,lme_high,lme_low,lme_volume,lme_change_pct,usdcny_close,comex_copper_volume,comex_copper_volume,chile_copper_production_mt,lme_fitted,residual,usdcny_chg,chile_chg,lme_rolling3,signal_usdcny,signal_chile,signal_momentum,composite_score,next_month_return,signal_long,strategy_return
2020-01-31,2.52,2.5495,2.5655,2.509,470.0,-0.3,6.935699939727783,2.5199999809265137,511,6031.209090909091,2.7589128760413812,-0.23891287604138123,,,,0,0,0,0,0.007936507936507908,0,0.0
2020-02-29,2.54,2.5565,2.5775,2.506,130450.0,-1.22,7.003499984741211,2.5460000038146973,2580,5687.75,2.608742308440926,-0.06874230844092599,0.06780004501342773,-343.4590909090912,,0,1,0,1,-0.12125984251968502,0,-0.0
2020-03-31,2.232,2.192,2.2365,2.18,220.0,3.31,7.099199771881104,2.240000009536743,514,5182.631818181818,2.3872481142478787,-0.15524811424787854,0.09569978713989347,-505.11818181818217,2.4306666666666668,0,1,0,1,0.05017921146953386,0,0.0
2020-04-30,2.344,2.377,2.395,2.335,52270.0,-1.12,7.075399875640869,2.3540000915527344,1086,5057.972,2.325004177630549,0.018995822369451076,-0.023799896240235263,-124.65981818181808,2.3720000000000003,1,1,0,2,0.038609215017064935,1,0.038609215017064935
2020-05-31,2.4345,2.426,2.441,2.426,80.0,0.54,7.145199775695801,2.426500082015991,260,5239.826315789474,2.4214141845825212,0.013085815417478663,0.06979990005493164,181.85431578947464,2.3368333333333333,0,0,1,1,0.12076401725200259,0,0.0
2020-06-30,2.7285,2.698,2.737,2.6955,69030.0,1.34,7.079599857330322,2.713500022888184,1702,5754.595454545455,2.652244655869423,0.07625534413057711,-0.06559991836547852,514.7691387559807,2.502333333333333,1,0,1,2,0.054425508521165344,1,0.054425508521165344
2020-07-31,2.877,2.9105,2.9105,2.8745,360.0,-1.54,7.007299900054932,2.858999967575073,631,6372.460869565217,2.9303343463627054,-0.05333434636270562,-0.07229995727539062,617.8654150197617,2.6799999999999997,1,0,1,2,0.06204379562043805,1,0.06204379562043805
2020-08-31,3.0555,3.0345,3.06,3.0335,150.0,1.44,6.8643999099731445,3.04099988937378,1599,6508.392857142857,2.9712124905066517,0.08428750949334818,-0.1428999900817871,135.93198757764003,2.887,1,0,1,2,-0.007527409589265122,1,-0.007527409589265122
2020-09-30,3.0325,2.9955,3.0415,2.9755,81630.0,1.42,6.815400123596191,3.0285000801086426,510,6704.9,3.055499249824661,-0.02299924982466095,-0.048999786376953125,196.50714285714275,2.9883333333333333,1,0,1,2,0.006265457543281006,1,0.006265457543281006
2020-10-31,3.0515,3.068,3.068,3.045,260.0,-0.28,6.714000225067139,3.0434999465942383,690,6713.811363636364,3.0434661478410034,0.008033852158996435,-0.10139989852905273,8.911363636364513,3.0465,1,0,1,2,0.12518433557266917,1,0.12518433557266917
2020-11-30,3.4335,3.421,3.4915,3.421,160.0,0.63,6.576000213623047,3.4205000400543213,2921,7068.907142857143,3.1878690995349324,0.24563090046506764,-0.1380000114440918,355.09577922077915,3.1725,1,0,1,2,0.02490170380078638,1,0.02490170380078638
2020-12-31,3.519,3.5445,3.5595,3.5055,42980.0,-0.85,6.522200107574463,3.513999938964844,1109,7772.238095238095,3.5089815901853982,0.010018409814601892,-0.053800106048583984,703.3309523809521,3.3346666666666667,1,0,1,2,0.011082693947144007,1,0.011082693947144007
2021-01-31,3.558,3.576,3.6035,3.539,300.0,-0.61,6.448400020599365,3.573499917984009,550,7972.1475,3.5908985045580954,-0.03289850455809562,-0.07380008697509766,199.90940476190463,3.5035000000000003,1,0,1,2,0.15022484541877468,1,0.15022484541877468
2021-02-28,4.0925,4.2055,4.2555,4.0765,176040.0,-4.01,6.453800201416016,4.0945000648498535,2457,8470.94,3.8255899890808203,0.26691001091918,0.005400180816650391,498.7925000000005,3.7231666666666663,0,0,1,1,-0.022602321319486918,0,-0.0
2021-03-31,4.0,3.983,4.0135,3.96,310.0,0.45,6.571000099182129,4.002999782562256,289,8988.247826086958,4.086834494146323,-0.0868344941463226,0.11719989776611328,517.307826086957,3.8835,0,0,1,1,0.11699999999999999,0,0.0
2021-04-30,4.468,4.483,4.5305,4.446,74280.0,-0.41,6.471199989318848,4.479000091552734,1629,9324.8175,4.228659581263598,0.23934041873640233,-0.09980010986328125,336.5696739130417,4.186833333333333,1,0,1,2,0.04767233661593551,1,0.04767233661593551
2021-05-31,4.681,4.693,4.7047,4.6525,650.0,-0.27,6.367400169372559,4.682499885559082,686,10166.285,4.606535513139874,0.0744644868601263,-0.10379981994628906,841.4675000000007,4.383,1,0,1,2,-0.08374279000213636,1,-0.08374279000213636
2021-06-30,4.289,4.2575,4.335,4.2515,71400.0,0.57,6.463099956512451,4.296500205993652,1809,9631.5,4.371133857059797,-0.08213385705979714,0.09569978713989258,-534.7849999999999,4.479333333333334,0,1,0,1,0.041151783632548344,0,0.0
2021-07-31,4.4655,4.5085,4.5085,4.4475,120.0,-0.93,6.4552998542785645,4.480500221252441,377,9450.820454545456,4.28518638154229,0.18031361845770988,-0.007800102233886719,-180.6795454545445,4.4784999999999995,1,1,0,2,-0.021386182958235245,1,-0.021386182958235245
2021-08-31,4.37,4.374,4.38,4.337,710.0,-0.02,6.465099811553955,4.360000133514404,2262,9370.138571428572,4.248930350287733,0.12106964971226741,0.009799957275390625,-80.68188311688391,4.374833333333333,0,1,0,1,-0.06430205949656742,0,-0.0
2021-09-30,4.089,4.1775,4.208,4.0545,72320.0,-2.62,6.469600200653076,4.090000152587891,877,9324.709545454543,4.228353217656601,-0.13935321765660102,0.004500389099121094,-45.429025974028264,4.308166666666667,0,1,0,1,0.06603081438004388,0,0.0
2021-10-31,4.359,4.4155,4.428,4.33,350.0,-1.55,6.390399932861328,4.375500202178955,716,9829.219047619048,4.452199822727376,-0.09319982272737626,-0.07920026779174805,504.50950216450474,4.272666666666667,1,0,1,2,-0.018008717595778823,1,-0.018008717595778823
2021-11-30,4.2805,4.357,4.3635,4.275,240.0,-1.41,6.38700008392334,4.277999877929688,2030,9728.904545454545,4.4046300135134775,-0.12413001351347752,-0.0033998489379882812,-100.31450216450321,4.2428333333333335,1,1,1,3,0.042752014951524364,1,0.042752014951524364
